"esn","distance","max_cycle","rul","mean_X54321P01_op116_median_first","max_nc","max_ps30","min_p15","min_p30","min_ps30"
999101,25889232.3537204,31,149,23.372644895,9056.96,47.5,21.61,553.27,47.05
999102,96250832.9936393,49,147,22.105420235,9055.9,47.67,21.61,552.55,47.19
999103,139897946.855175,126,66,32.693186085,9061.97,47.88,21.61,552.12,47.3
999104,154139070.945271,106,93,27.59004,9062.95,47.71,21.61,552.08,47.2
999105,158915308.364381,98,123,21.847729235,9059.29,47.76,21.61,552.45,47.27
999106,139836581.907977,105,78,33.374115145,9064.59,47.72,21.6,552.42,47.24
999107,173750539.46078,160,81,32.92906078,9073.38,47.6,21.6,553.19,46.94
999108,194541591.088945,166,132,21.6860366,9059.3,47.76,21.6,552.28,47.18
999109,106648906.913748,55,123,30.032609725,9057.99,47.78,21.61,552.26,47.3
999110,340827793.208191,192,107,27.410115145,9071.21,47.6,21.6,552.88,46.93
999111,145042336.815038,83,150,18.85020906,9045.99,47.8,21.61,552.46,47.39
999112,221152398.056832,217,141,25.731021885,9078.91,47.6,21.6,552.82,46.94
999113,376826710.48599,195,104,27.823209175,9073.19,47.57,21.6,552.84,46.93
999114,77634938.4902561,46,157,23.50241456,9053.89,47.84,21.61,552.48,47.43
999115,154746783.67936,76,93,29.9842865,9062.38,47.52,21.6,553.34,46.93
999116,144343612.627789,113,106,21.73260947,9067.53,47.52,21.6,553.14,46.98
999117,203045021.401809,165,50,18.995626905,9097.58,47.69,21.6,552.84,47.02
999118,127150480.798752,133,28,20.283612415,9074.23,47.76,21.6,552.7,47.01
999119,237286260.502503,135,114,20.87331988,9069.69,47.55,21.6,552.85,46.96
999120,321684635.940418,184,16,22.15643013,9075.1,48.13,21.6,551.23,47.12
999121,250026176.627253,148,62,26.812535355,9092.93,47.54,21.6,552.96,46.9
999122,31583033.4132297,39,122,28.292280655,9056.11,47.74,21.6,552.73,47.21
999123,152644326.148622,130,141,24.610540775,9059.48,47.47,21.6,553.21,46.93
999124,315110384.897716,186,20,31.23449254,9148.56,47.82,21.6,552.44,46.93
999125,27180726.947116,48,171,25.688925475,9054.94,47.54,21.6,553.18,47.07
999126,72833808.716054,76,162,22.09546478,9074.01,47.47,21.6,553.29,47.1
999127,166381300.106217,140,69,29.691676085,9062.18,47.58,21.6,552.75,46.98
999128,249976726.036625,157,145,20.7549523,9068.38,47.77,21.61,552.53,47.22
999129,288485960.106867,171,127,22.45521855,9076.33,47.66,21.6,552.84,46.98
999130,221883265.119167,143,140,28.55216826,9061.5,47.78,21.6,552.39,47.27
999131,230600282.320616,196,8,26.614673995,9091.76,48.15,21.6,551.34,46.99
999132,211248179.801409,145,48,22.88319614,9105.13,47.51,21.6,552.89,46.84
999133,41183616.9923813,50,151,21.833762455,9068.46,47.85,21.61,552.09,47.38
999134,336387724.615288,203,7,31.587755185,9073.97,48.23,21.6,551.21,47
999135,382950157.744022,198,11,21.94966987,9085.8,48.26,21.61,551.45,47.33
999136,154648846.684921,125,19,23.904350155,9070.65,48.06,21.61,551.52,47.36
999137,238466765.228912,121,21,29.014083375,9064.05,47.77,21.6,552.35,46.95
999138,184027313.792578,125,50,29.07745809,9086.18,47.97,21.61,551.59,47.27
999139,44378793.4104201,37,167,29.31268776,9067.66,47.45,21.6,553.72,47
999140,126522611.562447,133,28,33.67310009,9076.69,47.98,21.61,550.91,47.24
999141,221797912.310777,123,18,24.260536755,9060.91,47.92,21.6,551.77,47.02
999142,278280245.481118,156,10,33.550288335,9058.44,47.99,21.6,550.94,46.99
999143,149325953.949082,172,63,27.716793245,9066.41,47.85,21.61,552.25,47.09
999144,80779360.9055504,54,150,24.230074935,9061.78,47.7,21.61,552.97,47.25
999145,168727002.267193,152,110,32.895760075,9075.39,47.86,21.61,551.94,47.27
999146,316310260.508381,146,47,29.685286905,9089.05,47.86,21.61,552.03,47.17
999147,88680513.4988529,71,131,33.34969102,9055.37,47.87,21.61,552.45,47.27
999148,148260792.883895,78,86,32.622526895,9064.37,47.7,21.6,552.92,47.18
999149,341696357.79503,303,21,26.11857511,9072.44,48.11,21.6,551.58,46.96
999150,27825528.6352792,73,108,20.25117904,9067.44,47.5,21.6,553.24,47.09
999151,151515315.859672,144,134,27.2646367,9058.44,47.67,21.6,552.75,47.1
999152,220572788.696249,189,29,26.731903475,9122.6,47.74,21.6,552.85,46.86
999153,160006904.608289,164,26,24.08167013,9109.62,47.85,21.6,552.17,47.09
999154,142625488.378919,121,124,26.28704494,9069.37,47.42,21.6,553.45,46.8
999155,89959156.1175315,113,122,32.824159455,9067.11,47.58,21.6,553.06,47.08
999156,251303971.932973,136,15,28.77458809,9055.69,48.18,21.61,551.45,47.35
999157,274412018.256664,160,134,27.968185205,9060.1,47.7,21.6,552.43,47.19
999158,316141318.887562,176,37,31.452609795,9066.65,47.84,21.6,551.85,47.1
999159,188990117.598747,94,119,30.95102482,9065.23,47.45,21.6,553.33,46.99
999160,162309348.179715,147,109,28.706960525,9063.23,47.68,21.6,552.25,47.16
999161,247545921.93634,159,21,31.55173761,9079.36,47.96,21.6,551.98,47.02
999162,199564275.88967,231,57,27.495781115,9097.76,47.68,21.6,552.85,46.91
999163,169690749.172995,155,86,24.53954331,9061.3,47.82,21.6,551.93,47.09
999164,161409338.608279,168,28,33.33176059,9069.59,47.93,21.6,551.5,47.16
999165,68046174.2570585,71,123,31.693404215,9078.07,47.39,21.6,552.96,46.98
999166,278405525.178635,147,14,22.16402773,9128.32,48.06,21.61,551.45,47.12
999167,129008057.040925,71,94,26.04116612,9069.29,47.52,21.6,553.07,47.08
999168,198599316.723375,187,8,32.695884915,9091.67,48.1,21.6,551.34,47.09
999169,39022735.7160127,54,162,21.709382185,9056.16,47.65,21.61,552.6,47.21
999170,263868739.471404,152,120,25.309155315,9065.18,47.78,21.61,552.52,47.16
999171,126821420.380352,68,130,28.91214942,9078.58,47.49,21.6,553.07,47.03
999172,122910447.227637,131,50,20.20700639,9075.34,47.69,21.6,552.81,46.91
999173,72779417.2481645,112,169,24.30125936,9064.58,47.54,21.6,553.35,46.97
999174,308062901.949684,137,131,28.599154995,9071.66,47.75,21.61,552.44,47.12
999175,117783212.700517,88,123,26.835738905,9071.98,47.72,21.6,552.84,47.13
999176,164379258.322732,204,10,32.708097375,9109.04,48.05,21.6,551.79,47.06
999177,236189229.679898,162,34,30.30410165,9061.03,47.91,21.6,551.99,47.04
999178,76977560.5256237,72,167,19.25745569,9072.88,47.4,21.6,553.85,46.86
999179,75698931.6122417,101,73,22.683195645,9060.71,47.66,21.6,552.96,47.17
999180,233645945.160854,133,87,32.609870675,9076.62,47.72,21.6,552.63,47.01
999181,227188900.043604,213,8,23.588651325,9082.3,48.13,21.6,551.01,47.09
999182,145638610.028111,162,9,33.510212815,9072.76,48.2,21.6,551.15,47.1
999183,68465842.3897607,73,122,33.8335868,9066.02,47.59,21.61,553.11,47.11
999184,321440300.365814,172,63,26.754680895,9063.95,47.84,21.6,551.92,47.19
999185,43712628.0870812,34,122,32.98430784,9055.75,47.73,21.61,552.5,47.29
999186,132691810.190165,110,80,32.32895706,9074.91,47.68,21.61,552.77,47.17
999187,75843428.4586043,56,131,29.815257735,9073.64,47.45,21.6,553.43,47.07
999188,45770953.6824365,68,152,25.920645785,9050.13,47.83,21.61,552.28,47.28
999189,300854540.462686,176,170,23.20830532,9060.03,47.72,21.61,552.53,47.25
999190,133530634.693689,146,28,25.64644626,9087.59,48.06,21.61,552.04,47.23
999191,324445142.9334,234,38,29.544030295,9061.69,48.03,21.61,551.45,47.24
999192,264712200.364414,150,20,30.637530675,9055.47,48.16,21.61,550.88,47.25
999193,271028787.913871,244,97,29.15973514,9084.88,47.95,21.61,551.89,47.28
999194,138868680.808246,133,58,28.15807666,9070.61,47.81,21.61,552.08,47.29
999195,140821171.396708,89,141,31.906576755,9057.47,47.62,21.6,553.15,47.09
999196,181924630.237753,97,193,19.93611206,9079.76,47.51,21.6,553.26,46.91
999197,120901797.868137,134,95,30.541138385,9084.11,47.59,21.6,553.26,47.01
999198,171578020.914465,121,63,28.269524065,9073.75,47.71,21.6,552.46,47.17
999199,103922649.938332,97,143,25.76075702,9074.59,47.39,21.6,553.39,46.89
